"Provinsi","Kota","Jumlah AHH","AHH","Jumlah RLS","RLS","Jumlah HLS","HLS","Pengeluaran","PPK","Jumlah IPM","IPM"
"Aceh","Kota Banda Aceh","75.02","Tinggi","13.04","Tinggi","17.93","Tinggi","  17,521.00 ","Tinggi","86.69","=IF(K20>=80,""Sangat Tinggi"",IF(K20>=70,""Tinggi"",IF(K20>=60,""Sedang"",""Rendah"")))"
"Aceh","Kota Sabang","73.34","Tinggi","11.2","Tinggi","14.68","Tinggi","  12,137.00 ","Tinggi","77.52","=IF(K21>=80,""Sangat Tinggi"",IF(K21>=70,""Tinggi"",IF(K21>=60,""Sedang"",""Rendah"")))"
"Aceh","Kota Langsa","73.98","Tinggi","11.27","Tinggi","15.7","Tinggi","  12,678.00 ","Tinggi","78.36","=IF(K22>=80,""Sangat Tinggi"",IF(K22>=70,""Tinggi"",IF(K22>=60,""Sedang"",""Rendah"")))"
"Aceh","Kota Lhokseumawe","74.76","Tinggi","11.27","Tinggi","15.54","Tinggi","  12,125.00 ","Tinggi","78.92","=IF(K23>=80,""Sangat Tinggi"",IF(K23>=70,""Tinggi"",IF(K23>=60,""Sedang"",""Rendah"")))"
"Aceh","Kota Subulussalam","69.68","Sedang","8.32","Sedang","15.06","Tinggi","  8,065.00 ","Sedang","67.10","=IF(K24>=80,""Sangat Tinggi"",IF(K24>=70,""Tinggi"",IF(K24>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Nias","71.74","Tinggi","6.14","Rendah","13.3","Tinggi","  7,301.00 ","Rendah","64.56","=IF(K25>=80,""Sangat Tinggi"",IF(K25>=70,""Tinggi"",IF(K25>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Mandailing Natal","71.72","Tinggi","8.84","Sedang","13.86","Tinggi","  10,251.00 ","Tinggi","68.56","=IF(K26>=80,""Sangat Tinggi"",IF(K26>=70,""Tinggi"",IF(K26>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Tapanuli Selatan","71.61","Tinggi","9.51","Sedang","13.58","Tinggi","  11,829.00 ","Tinggi","71.55","=IF(K27>=80,""Sangat Tinggi"",IF(K27>=70,""Tinggi"",IF(K27>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Tapanuli Tengah","71.76","Tinggi","8.87","Sedang","13.49","Tinggi","  10,690.00 ","Tinggi","70.91","=IF(K28>=80,""Sangat Tinggi"",IF(K28>=70,""Tinggi"",IF(K28>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Tapanuli Utara","74.1","Tinggi","10.09","Tinggi","13.73","Tinggi","  12,115.00 ","Tinggi","74.65","=IF(K29>=80,""Sangat Tinggi"",IF(K29>=70,""Tinggi"",IF(K29>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Toba Samosir","74.22","Tinggi","10.59","Tinggi","13.59","Tinggi","  12,676.00 ","Tinggi","76.38","=IF(K30>=80,""Sangat Tinggi"",IF(K30>=70,""Tinggi"",IF(K30>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Labuhan Batu","72.88","Tinggi","9.49","Sedang","13.25","Tinggi","  11,670.00 ","Tinggi","73.69","=IF(K31>=80,""Sangat Tinggi"",IF(K31>=70,""Tinggi"",IF(K31>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Asahan","73.39","Tinggi","8.83","Sedang","12.64","Tinggi","  11,795.00 ","Tinggi","71.56","=IF(K32>=80,""Sangat Tinggi"",IF(K32>=70,""Tinggi"",IF(K32>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Simalungun","74.08","Tinggi","9.72","Sedang","12.82","Tinggi","  11,746.00 ","Tinggi","74.29","=IF(K33>=80,""Sangat Tinggi"",IF(K33>=70,""Tinggi"",IF(K33>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Dairi","74.13","Tinggi","9.88","Sedang","13.32","Tinggi","  10,969.00 ","Tinggi","73.27","=IF(K34>=80,""Sangat Tinggi"",IF(K34>=70,""Tinggi"",IF(K34>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","karo","74.16","Tinggi","10.03","Tinggi","13.25","Tinggi","  12,779.00 ","Tinggi","75.98","=IF(K35>=80,""Sangat Tinggi"",IF(K35>=70,""Tinggi"",IF(K35>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Deli Serdang","73.65","Tinggi","10.28","Tinggi","13.39","Tinggi","  12,890.00 ","Tinggi","76.52","=IF(K36>=80,""Sangat Tinggi"",IF(K36>=70,""Tinggi"",IF(K36>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Langkat","74.14","Tinggi","8.73","Sedang","13.27","Tinggi","  11,632.00 ","Tinggi","72.21","=IF(K37>=80,""Sangat Tinggi"",IF(K37>=70,""Tinggi"",IF(K37>=60,""Sedang"",""Rendah"")))"
"Sumatera Utara","Nias Selatan","71.61","Tinggi","6.48","Rendah","12.78","Tinggi","  7,299.00 ","Rendah","64.12","=IF(K38>=80,""Sangat Tinggi"",IF(K38>=70,""Tinggi"",IF(K38>=60,""Sedang"",""Rendah"")))"
